mechanism,n_agents,seed,auction_idx,agent_idx,truthful_valuation,truthful_utility,best_misreport_bid,best_misreport_utility,regret
weighted_aggregation,3,0,38,0,0.143416,0.019062,0.286832,0.021343,0.002281
weighted_aggregation,3,0,38,1,0.890249,0.366708,1.780498,0.555919,0.189211
weighted_aggregation,3,0,38,2,0.776571,0.278728,1.553141,0.419986,0.141257
second_price,3,0,39,0,0.419765,0.232436,0.209882,0.232436,0.000000
second_price,3,0,39,1,0.116333,0.000000,0.029083,0.000000,0.000000
second_price,3,0,39,2,0.187329,0.000000,0.046832,0.000000,0.000000
weighted_aggregation,3,0,39,0,0.419765,0.164238,0.839529,0.207201,0.042964
weighted_aggregation,3,0,39,1,0.116333,0.032553,0.232667,0.035298,0.002746
weighted_aggregation,3,0,39,2,0.187329,0.057507,0.374657,0.065151,0.007644
second_price,3,0,40,0,0.428056,0.208985,0.321042,0.208985,0.000000
second_price,3,0,40,1,0.219071,0.000000,0.054768,0.000000,0.000000
second_price,3,0,40,2,0.052018,0.000000,0.013005,0.000000,0.000000
weighted_aggregation,3,0,40,0,0.428056,0.170432,0.856113,0.215416,0.044984
weighted_aggregation,3,0,40,1,0.219071,0.070450,0.438143,0.081242,0.010791
weighted_aggregation,3,0,40,2,0.052018,0.012500,0.104036,0.012977,0.000477
second_price,3,0,41,0,0.713067,0.189436,0.534801,0.189436,0.000000
second_price,3,0,41,1,0.523631,0.000000,0.130908,0.000000,0.000000
second_price,3,0,41,2,0.511770,0.000000,0.127943,0.000000,0.000000
weighted_aggregation,3,0,41,0,0.713067,0.266274,1.426135,0.389918,0.123645
weighted_aggregation,3,0,41,1,0.523631,0.159477,1.047263,0.221533,0.062056
weighted_aggregation,3,0,41,2,0.511770,0.152404,1.023541,0.210719,0.058315
second_price,3,0,42,0,0.222125,0.000000,0.055531,0.000000,0.000000
second_price,3,0,42,1,0.804843,0.000000,0.201211,0.000000,0.000000
second_price,3,0,42,2,0.888187,0.083344,0.888187,0.083344,0.000000
weighted_aggregation,3,0,42,0,0.222125,0.041234,0.444250,0.048921,0.007687
weighted_aggregation,3,0,42,1,0.804843,0.295699,1.609686,0.450658,0.154959
weighted_aggregation,3,0,42,2,0.888187,0.359751,1.776373,0.550711,0.190960
second_price,3,0,43,0,0.248837,0.000000,0.062209,0.000000,0.000000
second_price,3,0,43,1,0.250753,0.001916,0.250753,0.001916,0.000000
second_price,3,0,43,2,0.057827,0.000000,0.014457,0.000000,0.000000
weighted_aggregation,3,0,43,0,0.248837,0.086873,0.497675,0.101297,0.014424
weighted_aggregation,3,0,43,1,0.250753,0.087729,0.501506,0.102393,0.014664
weighted_aggregation,3,0,43,2,0.057827,0.015170,0.115653,0.015798,0.000628
second_price,3,0,44,0,0.597029,0.000000,0.149257,0.000000,0.000000
second_price,3,0,44,1,0.746303,0.149275,0.746303,0.149275,0.000000
second_price,3,0,44,2,0.360587,0.000000,0.090147,0.000000,0.000000
weighted_aggregation,3,0,44,0,0.597029,0.195084,1.194057,0.277576,0.082491
weighted_aggregation,3,0,44,1,0.746303,0.289139,1.492607,0.424548,0.135409
weighted_aggregation,3,0,44,2,0.360587,0.091931,0.721175,0.118122,0.026192
second_price,3,0,45,0,0.892778,0.498409,0.446389,0.498409,0.000000
second_price,3,0,45,1,0.394369,0.000000,0.098592,0.000000,0.000000
second_price,3,0,45,2,0.103514,0.000000,0.025879,0.000000,0.000000
weighted_aggregation,3,0,45,0,0.892778,0.429460,1.785556,0.617106,0.187646
weighted_aggregation,3,0,45,1,0.394369,0.106840,0.788738,0.138729,0.031889
weighted_aggregation,3,0,45,2,0.103514,0.014978,0.207029,0.016222,0.001244
second_price,3,0,46,0,0.491048,0.000000,0.122762,0.000000,0.000000
second_price,3,0,46,1,0.026014,0.000000,0.006504,0.000000,0.000000
second_price,3,0,46,2,0.533012,0.041964,0.533012,0.041964,0.000000
weighted_aggregation,3,0,46,0,0.491048,0.179743,0.982097,0.237361,0.057618
weighted_aggregation,3,0,46,1,0.026014,0.002725,0.052028,0.002780,0.000055
weighted_aggregation,3,0,46,2,0.533012,0.205805,1.066025,0.275085,0.069280
second_price,3,0,47,0,0.951102,0.076381,0.951102,0.076381,0.000000
second_price,3,0,47,1,0.797660,0.000000,0.199415,0.000000,0.000000
second_price,3,0,47,2,0.874720,0.000000,0.218680,0.000000,0.000000
weighted_aggregation,3,0,47,0,0.951102,0.335308,1.902203,0.552646,0.217339
weighted_aggregation,3,0,47,1,0.797660,0.242320,1.595321,0.391025,0.148704
weighted_aggregation,3,0,47,2,0.874720,0.287469,1.749441,0.470503,0.183034
second_price,3,0,48,0,0.191806,0.000000,0.047951,0.000000,0.000000
second_price,3,0,48,1,0.784386,0.592580,0.196096,0.592580,0.000000
second_price,3,0,48,2,0.174660,0.000000,0.043665,0.000000,0.000000
weighted_aggregation,3,0,48,0,0.191806,0.044026,0.383612,0.050518,0.006492
weighted_aggregation,3,0,48,1,0.784386,0.372486,1.568771,0.520449,0.147963
weighted_aggregation,3,0,48,2,0.174660,0.042339,0.349320,0.048043,0.005703
second_price,3,0,49,0,0.801452,0.000000,0.200363,0.000000,0.000000
second_price,3,0,49,1,0.947234,0.145781,0.947234,0.145781,0.000000
second_price,3,0,49,2,0.139753,0.000000,0.034938,0.000000,0.000000
weighted_aggregation,3,0,49,0,0.801452,0.291010,1.602904,0.444331,0.153321
weighted_aggregation,3,0,49,1,0.947234,0.399004,1.894467,0.611228,0.212224
weighted_aggregation,3,0,49,2,0.139753,0.019160,0.279506,0.021414,0.002254
second_price,3,0,50,0,0.850945,0.434104,0.425473,0.434104,0.000000
second_price,3,0,50,1,0.257794,0.000000,0.064449,0.000000,0.000000
second_price,3,0,50,2,0.416841,0.000000,0.104210,0.000000,0.000000
weighted_aggregation,3,0,50,0,0.850945,0.382245,1.701890,0.556066,0.173821
weighted_aggregation,3,0,50,1,0.257794,0.060542,0.515589,0.072958,0.012416
weighted_aggregation,3,0,50,2,0.416841,0.117893,0.833682,0.155227,0.037334
second_price,3,0,51,0,0.716734,0.074963,0.716734,0.074963,0.000000
second_price,3,0,51,1,0.641771,0.000000,0.160443,0.000000,0.000000
second_price,3,0,51,2,0.582287,0.000000,0.145572,0.000000,0.000000
weighted_aggregation,3,0,51,0,0.716734,0.249297,1.433468,0.371558,0.122261
weighted_aggregation,3,0,51,1,0.641771,0.208567,1.283542,0.305285,0.096717
weighted_aggregation,3,0,51,2,0.582287,0.177694,1.164574,0.255188,0.077494
second_price,3,0,52,0,0.914391,0.357370,0.685793,0.357370,0.000000
second_price,3,0,52,1,0.557020,0.000000,0.139255,0.000000,0.000000
second_price,3,0,52,2,0.469479,0.000000,0.117370,0.000000,0.000000
weighted_aggregation,3,0,52,0,0.914391,0.384806,1.828782,0.585877,0.201071
weighted_aggregation,3,0,52,1,0.557020,0.160987,1.114041,0.229796,0.068809
weighted_aggregation,3,0,52,2,0.469479,0.123747,0.938958,0.169999,0.046252
second_price,3,0,53,0,0.132680,0.000000,0.033170,0.000000,0.000000
second_price,3,0,53,1,0.318072,0.101531,0.238554,0.101531,0.000000
second_price,3,0,53,2,0.216542,0.000000,0.054135,0.000000,0.000000
weighted_aggregation,3,0,53,0,0.132680,0.038812,0.265360,0.042487,0.003675
weighted_aggregation,3,0,53,1,0.318072,0.114179,0.636144,0.138031,0.023853
weighted_aggregation,3,0,53,2,0.216542,0.069880,0.433083,0.080356,0.010476
second_price,3,0,54,0,0.935094,0.354226,0.701320,0.354226,0.000000
second_price,3,0,54,1,0.580868,0.000000,0.145217,0.000000,0.000000
second_price,3,0,54,2,0.012901,0.000000,0.003225,0.000000,0.000000
weighted_aggregation,3,0,54,0,0.935094,0.438035,1.870188,0.642375,0.204340
weighted_aggregation,3,0,54,1,0.580868,0.186828,1.161736,0.264374,0.077546
weighted_aggregation,3,0,54,2,0.012901,-0.000944,0.003225,-0.000937,0.000007
second_price,3,0,55,0,0.617836,0.200372,0.463377,0.200372,0.000000
second_price,3,0,55,1,0.417464,0.000000,0.104366,0.000000,0.000000
second_price,3,0,55,2,0.115899,0.000000,0.028975,0.000000,0.000000
weighted_aggregation,3,0,55,0,0.617836,0.251774,1.235672,0.345244,0.093470
weighted_aggregation,3,0,55,1,0.417464,0.138979,0.834927,0.179569,0.040591
